;valid_species_name;dec_long;dec_lat
573;Atta.sexdens;-466.417;-235.733
574;Atta.sexdens;-34.9;-8.05
575;Atta.sexdens;-38.45;-12.95
576;Atta.sexdens;-50.01;-25.1
577;Atta.sexdens;-520.167;-272.333
578;Atta.sexdens;-48.085;-181.317
579;Atta.sexdens;-351.167;-68.333
580;Atta.sexdens;-439.333;-199.167
581;Atta.sexdens;-56.09;-15.59
582;Atta.sexdens;-512.211;-299.914
583;Atta.sexdens;-42.82;-5.08
584;Atta.sexdens;-406.306;-195.394
585;Atta.sexdens;-517.416;-18.707
586;Atta.sexdens;-48.38;-19.16
587;Atta.sexdens;-429.833;-224.333
588;Atta.sexdens;-6.453.239;-3.569.727
589;Atta.sexdens;-763.167;-125.667
590;Atta.sexdens;-56.04;4.16
591;Atta.sexdens;-71.04;-13.75
592;Atta.sexdens;-5.324.036;391.451
593;Atta.sexdens;-37.299.343;-8.449.588
594;Atta.sexdens;-37.230.109;-8.535.398
595;Atta.sexdens;-37.317.409;-8.413.305
596;Atta.sexdens;-37.196.837;-8.531.343
597;Atta.sexdens;-37.304.636;-8.427.781
598;Atta.sexdens;-5.610.751;-284.398
